,Unnamed: 0,abv,ibu,id,name_x,style,brewery_id,ounces,name_y,city,state,region
97,168,0.07200000000000001,22.0,1579,OktoberBeast,Märzen / Oktoberfest,360,12.0,Aviator Brewing Company,Fuquay-Varina,NC,south
98,169,0.048,23.0,1228,Mad Beach,American Pale Wheat Ale,360,12.0,Aviator Brewing Company,Fuquay-Varina,NC,south
99,171,0.092,5.0,704,Devils Tramping Ground Tripel,Tripel,360,12.0,Aviator Brewing Company,Fuquay-Varina,NC,south
100,172,0.061,41.0,702,Hot Rod Red,American Amber / Red Ale,360,12.0,Aviator Brewing Company,Fuquay-Varina,NC,south
101,179,0.06,43.0,1875,Naked Pig Pale Ale,American Pale Ale (APA),286,12.0,Back Forty Beer Company,Gadsden,AL,south
102,180,0.068,70.0,966,Topcutter India Pale Ale,American IPA,483,12.0,Bale Breaker Brewing Company,Yakima,WA,west
103,181,0.044,38.0,965,Field 41 Pale Ale,American Pale Ale (APA),483,12.0,Bale Breaker Brewing Company,Yakima,WA,west
104,183,0.038,40.0,2105,Even Keel,American IPA,34,12.0,Ballast Point Brewing Company,San Diego,CA,west
105,184,0.052000000000000005,23.0,1401,Ballast Point Pale Ale,Kölsch,34,12.0,Ballast Point Brewing Company,San Diego,CA,west
106,185,0.07,75.0,1400,Big Eye India Pale Ale,American IPA,34,12.0,Ballast Point Brewing Company,San Diego,CA,west
107,187,0.07,70.0,1018,Sculpin IPA,American IPA,34,12.0,Ballast Point Brewing Company,San Diego,CA,west
108,189,0.045,20.0,1644,Banner American Rye,Rye Beer,318,12.0,Banner Beer Company,Williamsburg,MA,northeast
109,190,0.035,45.0,1643,Banner American Ale,American Amber / Red Ale,318,12.0,Banner Beer Company,Williamsburg,MA,northeast
110,191,0.07,46.0,2618,Thai.p.a,American IPA,20,16.0,Bare Hands Brewery,Granger,IN,midwest
111,192,0.06,60.0,2005,Barrio Blanco,American IPA,251,12.0,Barrio Brewing Company,Tucson,AZ,west
112,194,0.049,22.0,2404,Hop in the ‘Pool Helles,American Pilsner,116,12.0,Base Camp Brewing Co.,Portland,OR,west
113,195,0.067,60.0,2323,Ultra Gnar Gnar IPA,American IPA,116,12.0,Base Camp Brewing Co.,Portland,OR,west
114,196,0.068,62.0,2189,In-Tents India Pale Lager,American Pale Lager,116,12.0,Base Camp Brewing Co.,Portland,OR,west
115,197,0.05,20.0,2188,Lost Meridian Wit,Witbier,116,12.0,Base Camp Brewing Co.,Portland,OR,west
116,198,0.051,45.0,2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,116,12.0,Base Camp Brewing Co.,Portland,OR,west
117,199,0.054000000000000006,55.0,1966,Wagon Party,California Common / Steam Beer,258,12.0,Bauhaus Brew Labs,Minneapolis,MN,midwest
118,200,0.067,70.0,1965,Sky-Five,American IPA,258,12.0,Bauhaus Brew Labs,Minneapolis,MN,midwest
119,201,0.05,28.0,1964,Stargrazer,Schwarzbier,258,12.0,Bauhaus Brew Labs,Minneapolis,MN,midwest
120,202,0.054000000000000006,48.0,1963,Wonderstuff,German Pilsener,258,12.0,Bauhaus Brew Labs,Minneapolis,MN,midwest
121,204,0.07,42.0,1778,On the Count of 3 (2015),Hefeweizen,292,16.0,Baxter Brewing Company,Lewiston,ME,northeast
122,209,0.055,35.0,533,Amber Road,American Amber / Red Ale,292,12.0,Baxter Brewing Company,Lewiston,ME,northeast
123,210,0.049,28.0,183,Pamola Xtra Pale Ale,American Pale Ale (APA),292,12.0,Baxter Brewing Company,Lewiston,ME,northeast
124,211,0.069,69.0,182,Stowaway IPA,American IPA,292,12.0,Baxter Brewing Company,Lewiston,ME,northeast
125,212,0.08800000000000001,108.0,1806,Hoptopus Double IPA,American Double / Imperial IPA,306,16.0,Beach Brewing Company,Virginia Beach,VA,south
126,213,0.05,10.0,2435,Watermelon Ale,Fruit / Vegetable Beer,103,12.0,Beer Works Brewery,Lowell,MA,northeast
